2016-10-10,Freida Pinto: This is revolutionary,CNN,"[""The film, premiering on CNN this week, chronicles our journey with fellow activists Meryl Streep and CNN's Isha Sesay to Morocco and Liberia. ,"", ""Or what it's like to live where half of women have been affected by female genital mutilation, and where one in 24 women die during pregnancy or childbirth, as in Liberia. ,"", ""That was on my mind as the first lady's plane touched down in Liberia's capital of Monrovia amid dancers, drummers and a good amount of chaos.""]",0.5,0.408248290463863,liberia
2016-10-11,Michelle Obama: This issue is personal for me,CNN,"['This powerful film chronicles the lives of some of the girls I visited this past summer in Liberia and Morocco, two countries in Africa where many girls struggle to get an education.']",0.5,0.0,liberia
2016-10-20,Lupita Nyong’o: ‘Art is political in whatever way you slice it’,Guardian,"['Her first role post-Steve McQueen’s 12 Years a Slave, after all, was a play written by a university friend about the Liberian war., “']",0.5,0.0,liberia
2016-11-10,Everything You Need to Know About the Zika Virus,Atlantic,"['Zika is endemic in parts of Africa (Angola, Benin, Burkina-Faso, Cameroon, Central African Republic, Côte d’Ivoire, Egypt, Ethiopia, Gabon, Guinea-Bissau, Kenya, Liberia, Mali, Mozambique, Niger, Nigeria, Senegal, Sierra Leone, Somalia, Tanzania, Togo, Uganda, Zambia) Asia (Bangladesh, India, Pakistan), and the Pacific Islands (Easter Island, Vanuatu).,']",0.5,0.0,liberia
2016-12-10,"‘It's not about your age, it's about your ideas’: the teen power list",Guardian,"['More importantly, Sasha has had a unique global education, meeting Malala Yousafzai at the White House, and helping her mother promote women’s education in Liberia and Morocco.']",1.0,0.0,liberia
2016-12-13,Gambian Troops Seize Election Headquarters Amid Vote Result Standoff,NPR,"[""Liberian president and Nobel Peace Laureate Ellen Johnson Sirleaf arrived in Gambia Tuesday, along with Nigeria's Muhammadu Buhari, Sierra Leone's Ernest Bai Koroma and Ghana's John Mahama, according to Reuters.,""]",1.0,0.0,liberia
2016-12-25,2016 was the end of the world as we know it. So what's next?,Guardian,"['In its 2016 report, Freedom House identified Nigeria, Liberia and Ivory Coast among countries experiencing big advances in political rights and civil liberties.']",1.0,0.0,liberia
2017-01-07,Ghana's new President Akufo-Addo says will cut taxes,Reuters,"['It was also attended by dozens of African leaders and other international dignitaries, including Chadian President Idris Deby, President Ellen Johnson Sirleaf of Liberia and former UN chief Kofi Annan.']",1.0,0.0,liberia
2017-01-08,Global Buzzwords That Will Keep On Buzzing In 2017,NPR,"['In December, CHWs had their moment in the sun when Dr. Raj Panjabi won a $1 million TED Prize for founding Last Mile Health, an organization that uses CHWs to provide health care in isolated parts of Liberia.,']",1.0,0.0,liberia
2017-01-20,"West African military halt Gambia operation, issue Jammeh deadline",Reuters,"[""ECOWAS will send a team led by Guinea's president, Alpha Conde, and including the presidents of Liberia and Mauritania to Banjul on Friday, de Souza said.""]",1.0,0.0,liberia
